score_name,method_family,score_priority,K_initial,tail_audit,expand_factor,max_expand_rounds,n_lops,pass_all_lops,mean_l0_truth_calls,max_K_final,max_tail_audit_failure_hits,mean_top100_recall,mean_top200_recall
raw_success_fail,raw_success_fail,0,125,50,2.0,3,6,False,237.5,250,50,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,50,2.0,3,6,False,237.5,250,50,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,50,2.0,3,6,False,237.5,250,50,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,50,2.0,3,6,False,237.5,250,50,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,75,1.25,3,6,False,237.66666666666666,188,34,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,75,1.25,3,6,False,237.66666666666666,188,34,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,75,1.25,3,6,False,237.66666666666666,188,34,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,75,1.25,3,6,False,237.66666666666666,188,34,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,50,1.5,3,6,False,239.66666666666666,263,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,50,1.5,3,6,False,239.66666666666666,263,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,50,1.5,3,6,False,239.66666666666666,263,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,50,1.5,3,6,False,239.66666666666666,263,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,75,2.0,3,6,False,241.66666666666666,200,75,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,75,2.0,3,6,False,241.66666666666666,200,75,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,75,2.0,3,6,False,241.66666666666666,200,75,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,75,2.0,3,6,False,241.66666666666666,200,75,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,100,1.25,3,6,False,246.0,197,170,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,100,1.25,3,6,False,246.0,197,170,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,100,1.25,3,6,False,246.0,197,170,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,100,1.25,3,6,False,246.0,197,170,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,75,1.5,3,6,False,250.0,225,34,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,75,1.5,3,6,False,250.0,225,34,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,75,1.5,3,6,False,250.0,225,34,0.7983897196733317,1.0
